STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Jahr und Alter in 15-Jahresgruppen <6> nach Wanderungen innerhalb Österreichs und Binnenwanderung nach Pol. Bezirken (Ebene +1)"
"Zählt: Wanderungen innerhalb Österreichs"

;"Werte";"Wanderungen innerhalb Österreichs";;;;;;
;"Binnenwanderung nach Pol. Bezirken (Ebene +1)";"Wanderungen über Gemeindegrenzen hinweg";"Wanderungen über Gemeindegrenzen hinweg - Anmerkungen";"Wanderungen innerhalb derselben Gemeinde";"Wanderungen innerhalb derselben Gemeinde - Anmerkungen";"Wanderungen zwischen Bundesländern";"Wanderungen zwischen Bundesländern - Anmerkungen";
"Jahr";"Alter in 15-Jahresgruppen <6>";
;"45 bis 59 Jahre";42410;;51677;;12890;;
;"60 bis 74 Jahre";15203;;18933;;4952;;
;"75 Jahre und älter";14556;;15172;;2198;;
"2019";"bis 14 Jahre";51902;;73462;;14743;;
;"15 bis 29 Jahre";136822;;157560;;45514;;
;"30 bis 44 Jahre";93598;;121876;;30892;;
;"45 bis 59 Jahre";43607;;52873;;13499;;
;"60 bis 74 Jahre";16313;;20294;;5352;;
;"75 Jahre und älter";14314;;15799;;2222;;
"2020";"bis 14 Jahre";51129;;69868;;15461;;
;"15 bis 29 Jahre";137302;;149742;;47486;;
;"30 bis 44 Jahre";95077;;119063;;32418;;
;"45 bis 59 Jahre";43185;;50688;;13560;;
;"60 bis 74 Jahre";16685;;19775;;5470;;
;"75 Jahre und älter";14022;;14936;;2144;;
"2021";"bis 14 Jahre";50558;;66584;;16289;;
;"15 bis 29 Jahre";138427;;146935;;51920;;
;"30 bis 44 Jahre";96842;;118160;;35437;;
;"45 bis 59 Jahre";43295;;50081;;14269;;
;"60 bis 74 Jahre";18553;;21423;;6422;;
;"75 Jahre und älter";15700;;16437;;2467;;
"2022";"bis 14 Jahre";56326;;71823;;18001;;
;"15 bis 29 Jahre";149021;;151801;;59385;;
;"30 bis 44 Jahre";107656;;126710;;40369;;
;"45 bis 59 Jahre";46381;;53601;;15747;;
;"60 bis 74 Jahre";21436;;24403;;7410;;
;"75 Jahre und älter";16376;;16618;;2735;;
"2023";"bis 14 Jahre";55602;;71876;;19125;;
;"15 bis 29 Jahre";145298;;154537;;58764;;
;"30 bis 44 Jahre";103195;;128838;;38200;;
;"45 bis 59 Jahre";45133;;52516;;15230;;
;"60 bis 74 Jahre";20562;;23824;;7136;;
;"75 Jahre und älter";16555;;16861;;2513;;


Symbol;Beschreibung
"Q";"STATcube – Statistische Datenbank von STATISTIK AUSTRIA"
"Wanderungen innerhalb Österreichs ab 2002";".) Datenprovenienz: Die Wanderungsstatistik wird von der Statistik Austria erstellt und basiert auf den Daten (An- und Abmeldungen) des Zentralen Melderegisters (ZMR). Wanderungen innerhalb Österreichs (Binnenwanderungen) sind Hauptwohnsitzverlegungen innerhalb Österreichs. Neben Wanderungen über administrative Grenzen (z.B. Bundesland-, Bezirks- oder Gemeindegrenzen) hinweg werden auch Hauptwohnsitz- wechsel innerhalb derselben Gemeinde von der Wanderungsstatistik erfasst. Weitere Metadaten: https://www.statistik.at/fileadmin/shared/QM/Standarddokumentationen/B_2/std_b_wanderungsstatistik.pdf weitere Informationen finden Sie unter: Weitere Metadaten: https://www.statistik.at/statistiken/bevoelkerung-und-soziales/bevoelkerung/migration-und-einbuergerung .) Gesetzliche Grundlagen: Die Wanderungsstatistik ist eine im Sinne des Par.4.(1) BstatG angeordnete Statistik. Die Datenübermittlung der für die Wanderungsstatsitik benötigten Meldedaten ist im Par.16b(6) MeldeG geregelt. .) Aktualisierung: Jährlich im Mai für die Wanderungsstatistik des Vorjahres. Letzte Änderung des Würfels [26.05.2025] .) Bearbeitungsnachweis: Direktion Bevölkerung - Demographie Für allgemeine Anfragen: Tel.: +43 1 711 28-7070 Bei Spezialfragen wenden Sie sich bitte schriftlich an demographie@statistik.gv.at"


(c) Copyright Statistics Austria
